year,month,rate_per_kWh
2021,1,8.0327
2021,2,7.8607
2021,3,7.5479
2021,4,7.6014
2021,5,7.7403
2021,6,7.6358
2021,7,7.7945
2021,8,8.0686
2021,9,8.1175
2021,10,8.1281
2021,11,8.3586
2021,12,8.6956
2022,1,5.4262
2022,2,5.1957
2022,3,5.4737
2022,4,5.8724
2022,5,6.2277
2022,6,6.559
2022,7,6.7756
2022,8,6.5812
2022,9,6.9393
2022,10,6.9192
2022,11,6.9917
2022,12,6.7975
2023,1,7.1291
2023,2,6.9154
2023,3,7.379
2023,4,7.3295
2023,5,7.6697
2023,6,7.2502
2023,7,6.6066
2023,8,6.3929
2023,9,6.8252
2023,10,7.1267
2023,11,7.1938
2023,12,6.5332
2024,1,6.6468
2024,2,7.102
2024,3,6.7502
2024,4,6.3889
2024,5,6.8344
2024,6,5.0036
2024,7,7.0057
2024,8,6.9554
2024,9,6.8007
2024,10,6.4948
2024,11,6.7832
2024,12,6.9671
2025,1,6.8358
2025,2,7.2203
2025,3,7.0517
2025,4,7.7795
2025,5,7.4651
2025,6,7.3552
2025,7,7.6959
2025,8,8.0708
2025,9,7.8105
2025,10,8.0008
2025,11,7.9
2025,12,7.7642
