room,day,start_time,end_time,event_name
705,Monday,07:30,08:30,GEC 003-CE12S3-225
705,Monday,09:30,10:30,GEE 001B-CE12S3-225
705,Monday,10:30,11:30,GEM 001-CE42S2-225
705,Monday,11:30,12:30,GEC 006-CE42S2-225
705,Monday,12:30,13:30,GEC 001-EE32S2-225
705,Monday,13:30,14:30,GEC 003-CE12S1-225
705,Monday,14:30,15:30,GEE 001B-CE12S1-225
705,Monday,15:30,16:30,GEC 008-CE12S2-225
705,Monday,16:30,17:30,GEC 008-CPE32S1-225
705,Tuesday,09:00,10:30,GEC 006-IT12S3-225
705,Tuesday,12:00,13:30,GEE 003B-CHE42S2-225
705,Tuesday,13:30,15:00,GEC OO6-IT12S1-225
705,Wednesday,07:30,08:30,GEC 003-CE12S3-225
705,Wednesday,09:30,10:30,GEE 001B-CE12S3-225
705,Wednesday,10:30,11:30,GEM 001-CE42S2-225
705,Wednesday,11:30,12:30,GEC 006-CE42S2-225
705,Wednesday,12:30,13:30,GEC 001-EE32S2-225
705,Wednesday,13:30,14:30,GEC 003-CE12S1-225
705,Wednesday,14:30,15:30,GEE 001B-CE12S1-225
705,Wednesday,15:30,16:30,GEC 008-CE12S2-225
705,Wednesday,16:30,17:30,GEC 008-CPE32S1-225
705,Thursday,09:00,10:30,GEC 006-IT12S3-225
705,Thursday,12:00,13:30,GEE 003B-CHE42S2-225
705,Thursday,13:30,15:00,GEC OO6-IT12S1-225
705,Friday,07:30,08:30,GEC 003-CE12S3-225
705,Friday,09:30,10:30,GEE 001B-CE12S3-225
705,Friday,10:30,11:30,GEM 001-CE42S2-225
705,Friday,11:30,12:30,GEC 006-CE42S2-225
705,Friday,12:30,13:30,GEC 001-EE32S2-225
705,Friday,13:30,14:30,GEC 003-CE12S1-225
705,Friday,14:30,15:30,GEE 001B-CE12S1-225
705,Friday,15:30,16:30,GEC 008-CE12S2-225
705,Friday,16:30,17:30,GEC 008-CPE32S1-225
